id,name,type,mimeType,driveId,driveName,parent_id,full_path,createdTime,modifiedTime
14pb084in-LvrMdN8ix7kyFUWEtyP30b7,Report(뷰런테크놀로지)_투자심사보고서(투자심의위원회)_최종.pdf,file,application/pdf,0ADRmYMCfHI3HUk9PVA,투자실(권한 주의),14lwVe3Py7RT2_8iVJj-DrXIyvd4LGeOy,/투자실(권한 주의)/03. 펀드팀/★04. Type 2/55. 케이디비 퀀텀 모빌리티 밸류체인 오픈이노베이션펀드 (퀀텀벤처스코리아)/06. 투심보고(해당자)/20240722_뷰런테크놀로지/Report(뷰런테크놀로지)_투자심사보고서(투자심의위원회)_최종.pdf,2024-07-16T08:29:47.558Z,2024-07-16T08:26:46.457Z
1ae6HGBHrPByS-Mhd02TpaS6twjdT_svl,Huespace_투심보고서.pdf,file,application/pdf,0ADRmYMCfHI3HUk9PVA,투자실(권한 주의),11xXU_GxzrO3IGVbfGS_0TH3UJAouAIdt,/투자실(권한 주의)/03. 펀드팀/★04. Type 2/50. 스프링캠프-KIF 초기전문 투자조합 (스프링캠프)/06. 투심보고(해당자)/20240719_Huespace/Huespace_투심보고서.pdf,2024-07-12T08:31:49.721Z,2024-07-12T08:28:29.000Z
1-WpnHYWRVjfuddugLyEcIvslUSydc_qo,스윕_투자심사보고서(2차).pdf,file,application/pdf,0ADRmYMCfHI3HUk9PVA,투자실(권한 주의),1iOrezIIlkplZQLSax0jerqeHimXGE9T6,/투자실(권한 주의)/03. 펀드팀/★04. Type 2/50. 스프링캠프-KIF 초기전문 투자조합 (스프링캠프)/06. 투심보고(해당자)/20240613_스윕/스윕_투자심사보고서(2차).pdf,2024-07-05T00:24:27.067Z,2024-07-04T11:23:27.320Z
1-_uym4e-zyjNza_tJVzM1CGYrKUmYAdT,사전보고서_KIF_스윕.pdf,file,application/pdf,0ADRmYMCfHI3HUk9PVA,투자실(권한 주의),1iOrezIIlkplZQLSax0jerqeHimXGE9T6,/투자실(권한 주의)/03. 펀드팀/★04. Type 2/50. 스프링캠프-KIF 초기전문 투자조합 (스프링캠프)/06. 투심보고(해당자)/20240613_스윕/사전보고서_KIF_스윕.pdf,2024-07-05T00:24:26.956Z,2024-07-04T11:23:18.139Z
1L-6753yuet3LY0XlEy111r8IqbG67evp,플레코_투심보고서.pdf,file,application/pdf,0ADRmYMCfHI3HUk9PVA,투자실(권한 주의),1nKAtZlI3MPBXmDMOrAvAgLXIp58lw6a9,/투자실(권한 주의)/03. 펀드팀/★04. Type 2/30. WE청년 메이트 펀드 1호 (위벤처스)/06. 투심보고(해당자)/20240703_플레코/플레코_투심보고서.pdf,2024-06-27T02:02:41.578Z,2024-06-27T02:02:05.000Z
1ENpaqYQwXRYHuv3OZGsnDmZk7uT_tanx,240626_머티어리얼사이언스_투심보고서_WE청년1호.pdf,file,application/pdf,0ADRmYMCfHI3HUk9PVA,투자실(권한 주의),1SYFPNItmi9ivPk2C4MhpBctwWa1hefD3,/투자실(권한 주의)/03. 펀드팀/★04. Type 2/30. WE청년 메이트 펀드 1호 (위벤처스)/06. 투심보고(해당자)/20240703_머티리얼사이언스/240626_머티어리얼사이언스_투심보고서_WE청년1호.pdf,2024-06-27T01:01:01.106Z,2024-06-27T00:59:57.000Z
1FJpEsu4r5P4iRQ0NXOQCHvnn-4Et080y,투심보고서_콘스탄트.pdf,file,application/pdf,0ADRmYMCfHI3HUk9PVA,투자실(권한 주의),1ajM_pj28CrVTSlnn9LRJZMsZEnBl85EU,/투자실(권한 주의)/03. 펀드팀/★04. Type 2/50. 스프링캠프-KIF 초기전문 투자조합 (스프링캠프)/06. 투심보고(해당자)/20240700_콘스탄트/투심보고서_콘스탄트.pdf,2024-06-26T07:26:00.571Z,2024-06-26T07:25:08.000Z
1QLV_X7PSLEBw0-V6NkYBjiKSEgYoqen0,사전보고서_KIF_콘스탄트.pdf,file,application/pdf,0ADRmYMCfHI3HUk9PVA,투자실(권한 주의),1ajM_pj28CrVTSlnn9LRJZMsZEnBl85EU,/투자실(권한 주의)/03. 펀드팀/★04. Type 2/50. 스프링캠프-KIF 초기전문 투자조합 (스프링캠프)/06. 투심보고(해당자)/20240700_콘스탄트/사전보고서_KIF_콘스탄트.pdf,2024-06-26T07:25:58.860Z,2024-06-26T07:25:07.000Z
1s3O-9alwD_5iV3BEjb_1DZZrDlfP1i0v,사전보고서_KIF_콘스탄트.pdf,file,application/pdf,0ADRmYMCfHI3HUk9PVA,투자실(권한 주의),1qtk04DNb5M2UWPY7-b9-mybx0BGPIGIO,/투자실(권한 주의)/03. 펀드팀/★04. Type 2/50. 스프링캠프-KIF 초기전문 투자조합 (스프링캠프)/06. 투심보고(해당자)/20240626_콘스탄트/사전보고서_KIF_콘스탄트.pdf,2024-06-27T02:00:59.743Z,2024-06-26T07:25:07.000Z
1ghPHY24uIh8bKESVvwY2BczCtPIyf6Qo,프렉탈테크놀로지_투자심사보고서.pdf,file,application/pdf,0ADRmYMCfHI3HUk9PVA,투자실(권한 주의),1Z8AZBIx9XVZFfwl9YLnSPayu6nT9-JQz,/투자실(권한 주의)/03. 펀드팀/★04. Type 2/50. 스프링캠프-KIF 초기전문 투자조합 (스프링캠프)/06. 투심보고(해당자)/20240701_프렉탈테크놀로지/프렉탈테크놀로지_투자심사보고서.pdf,2024-06-26T01:09:28.649Z,2024-06-26T01:09:00.000Z
1IJISPx0m3Y0gmIdXPndTaaIttYv_EALk,홀리데이로보틱스_투심보고서.pdf,file,application/pdf,0ADRmYMCfHI3HUk9PVA,투자실(권한 주의),1q6L-eW-lqNVgsX8qi0QAXXJB2yi_Mqgp,/투자실(권한 주의)/03. 펀드팀/★04. Type 2/50. 스프링캠프-KIF 초기전문 투자조합 (스프링캠프)/06. 투심보고(해당자)/20240627_홀리데이로보틱스/홀리데이로보틱스_투심보고서.pdf,2024-06-24T00:30:55.104Z,2024-06-24T00:30:21.000Z
13CNmUVyPxW4rTfXLrb6t0aWn-dH9J9Dh,콘스탄트_투심보고서 .pdf,file,application/pdf,0ADRmYMCfHI3HUk9PVA,투자실(권한 주의),1qtk04DNb5M2UWPY7-b9-mybx0BGPIGIO,/투자실(권한 주의)/03. 펀드팀/★04. Type 2/50. 스프링캠프-KIF 초기전문 투자조합 (스프링캠프)/06. 투심보고(해당자)/20240626_콘스탄트/콘스탄트_투심보고서 .pdf,2024-06-24T00:30:58.347Z,2024-06-24T00:29:34.000Z
1qn6d_1JIo4Ml9YM7H2tWTlNDDgXa5WaN,(240624) 투자검토보고서_(주)아치서울(아이비케이 디캠프 IP기술사업화 KIAMCO인라이트 펀드).pdf,file,application/pdf,0ADRmYMCfHI3HUk9PVA,투자실(권한 주의),1oggvxXdMUsO2YROZgK6yIsuDgZ_gN6hI,"/투자실(권한 주의)/03. 펀드팀/★04. Type 2/49. 아이비케이 디캠프 IP기술사업화 KIAMCO인라이트 펀드 (인라이트벤처스, 케이디비인프라자산운용)/06. 투심보고(해당자)/20240624_아치서울, 타이로스코프/(240624) 투자검토보고서_(주)아치서울(아이비케이 디캠프 IP기술사업화 KIAMCO인라이트 펀드).pdf",2024-06-18T00:27:10.570Z,2024-06-18T00:27:10.000Z
1ju29Sp-sIh4UtiHnVHUCvODjarhA_jGU,(240624) 투자검토보고서_(주)타이로스코프(아이비케이 디캠프 IP기술사업화 KIAMCO인라이트 펀드).pdf,file,application/pdf,0ADRmYMCfHI3HUk9PVA,투자실(권한 주의),1oggvxXdMUsO2YROZgK6yIsuDgZ_gN6hI,"/투자실(권한 주의)/03. 펀드팀/★04. Type 2/49. 아이비케이 디캠프 IP기술사업화 KIAMCO인라이트 펀드 (인라이트벤처스, 케이디비인프라자산운용)/06. 투심보고(해당자)/20240624_아치서울, 타이로스코프/(240624) 투자검토보고서_(주)타이로스코프(아이비케이 디캠프 IP기술사업화 KIAMCO인라이트 펀드).pdf",2024-06-18T00:27:13.967Z,2024-06-18T00:27:08.000Z
1Ereb2c-y-s-caeQuxWiPY7DZlJyjK7YY,FY2023_파인드어스 투자조합 2호_감사보고서.pdf,file,application/pdf,0ADRmYMCfHI3HUk9PVA,투자실(권한 주의),10lPrM4jpWnxJIEq2SK0jR3jH4YTfAPY7,"/투자실(권한 주의)/03. 펀드팀/★04. Type 2/34. 파인드어스 투자조합2호 (파인드어스)/06. 투심보고(해당자)/20240627_리트모코퍼레이션, 모자키, 어헤드코리아, 글로우/FY2023_파인드어스 투자조합 2호_감사보고서.pdf",2024-06-13T09:06:14.089Z,2024-06-13T09:05:19.000Z
1SX3rX9P38MgkZW1rQzDfP-E1qPSsnYGK,루트릭스_투자심사보고서.pdf,file,application/pdf,0ADRmYMCfHI3HUk9PVA,투자실(권한 주의),1OkhGYEitr7RweVQrd45r5-OS6A2ukbo4,/투자실(권한 주의)/03. 펀드팀/★04. Type 2/50. 스프링캠프-KIF 초기전문 투자조합 (스프링캠프)/06. 투심보고(해당자)/20240618_루트릭스/루트릭스_투자심사보고서.pdf,2024-06-11T08:29:19.752Z,2024-06-11T08:28:26.000Z
1VkkgCgt4HYwvQPJ3dsgp1Aa9A3Zod0vJ,스윕_투자심사보고서.pdf,file,application/pdf,0ADRmYMCfHI3HUk9PVA,투자실(권한 주의),1iOrezIIlkplZQLSax0jerqeHimXGE9T6,/투자실(권한 주의)/03. 펀드팀/★04. Type 2/50. 스프링캠프-KIF 초기전문 투자조합 (스프링캠프)/06. 투심보고(해당자)/20240613_스윕/스윕_투자심사보고서.pdf,2024-06-11T00:22:34.786Z,2024-06-11T00:21:57.000Z
12cGXej2u6M_PiKkd19eKGux2wC9yRH1g,투자심사보고서(아트블러드)_2023에스초격차지역균형발전투자조합_F.pdf,file,application/pdf,0ADRmYMCfHI3HUk9PVA,투자실(권한 주의),1k_hu0447AvRVa98cBo_hCe1EAHvkhqg6,/투자실(권한 주의)/03. 펀드팀/★04. Type 2/46. 2023에스초격차지역균형발전투자조합 (에스벤처스)/06. 투심보고(해당자)/20240617_(주)아트블러드/투자심사보고서(아트블러드)_2023에스초격차지역균형발전투자조합_F.pdf,2024-06-11T00:21:22.578Z,2024-06-11T00:20:09.000Z
1e8dhius9wRXgNClor1wpLT6zp3V0AdXf,스매치코퍼레이션_투심보고서 .pdf,file,application/pdf,0ADRmYMCfHI3HUk9PVA,투자실(권한 주의),1pLB9VgJ4OfeWgMg8C6mXTTbWg9Q8uDjh,/투자실(권한 주의)/03. 펀드팀/★04. Type 2/50. 스프링캠프-KIF 초기전문 투자조합 (스프링캠프)/06. 투심보고(해당자)/20240529_스매치코퍼레이션/스매치코퍼레이션_투심보고서 .pdf,2024-05-29T07:00:00.000Z,2024-05-29T09:42:39.743Z
1EUdiHTkUidFQYjEJftwPWFAIrKM_4BXl,고퍼소프트_투심보고서.pdf,file,application/pdf,0ADRmYMCfHI3HUk9PVA,투자실(권한 주의),1HrDfKHjoe5tHbwGRwqlMA8SqN5z15pF-,/투자실(권한 주의)/03. 펀드팀/★04. Type 2/50. 스프링캠프-KIF 초기전문 투자조합 (스프링캠프)/06. 투심보고(해당자)/20240524_고퍼소프트/고퍼소프트_투심보고서.pdf,2024-05-24T02:30:00.000Z,2024-05-24T02:42:27.105Z
1yU47e4Ppbl9JfY1AFa90U6nMQxQzdXld,사전보고서_KIF_달파.pdf,file,application/pdf,0ADRmYMCfHI3HUk9PVA,투자실(권한 주의),1dDlWbOw8FOeSK4tmVO4r0Bn_wAG98XFk,/투자실(권한 주의)/03. 펀드팀/★04. Type 2/50. 스프링캠프-KIF 초기전문 투자조합 (스프링캠프)/06. 투심보고(해당자)/20240402_달파/사전보고서_KIF_달파.pdf,2024-05-08T09:13:56.829Z,2024-05-08T09:11:28.000Z
1Vx9lJ_9rKOPtpC8acZ42BPZSiA4eU2LR,달파_투자심사보고서.pdf,file,application/pdf,0ADRmYMCfHI3HUk9PVA,투자실(권한 주의),1dDlWbOw8FOeSK4tmVO4r0Bn_wAG98XFk,/투자실(권한 주의)/03. 펀드팀/★04. Type 2/50. 스프링캠프-KIF 초기전문 투자조합 (스프링캠프)/06. 투심보고(해당자)/20240402_달파/달파_투자심사보고서.pdf,2024-04-02T06:00:00.000Z,2024-05-08T09:07:56.791Z
1Wn4b01-d7R_g-uIhUe5dBcx9L0wCpEb0,별첨_투자대상기업 (주)티에이치케이컴퍼니 후행투자관련 사전보고서(2023에스초격차지역균형발전투자조합).pdf,file,application/pdf,0ADRmYMCfHI3HUk9PVA,투자실(권한 주의),1ehrorOjGhjlHxf3PZDM-JfWR-x5K3J8T,/투자실(권한 주의)/03. 펀드팀/★04. Type 2/46. 2023에스초격차지역균형발전투자조합 (에스벤처스)/06. 투심보고(해당자)/20240507_(주)티에이치케이컴퍼니/별첨_투자대상기업 (주)티에이치케이컴퍼니 후행투자관련 사전보고서(2023에스초격차지역균형발전투자조합).pdf,2024-05-08T05:39:48.453Z,2024-05-08T05:36:50.000Z
1pDysuxyCCDGG64paH4u4lijLJ7yFX2jM,벨테라퓨틱스_투심보고서.pdf,file,application/pdf,0ADRmYMCfHI3HUk9PVA,투자실(권한 주의),1nrfeXoAW4hLRp8OVAVPKck6JY5XxasqY,/투자실(권한 주의)/03. 펀드팀/★04. Type 2/50. 스프링캠프-KIF 초기전문 투자조합 (스프링캠프)/06. 투심보고(해당자)/20240507_벨테라퓨틱스/벨테라퓨틱스_투심보고서.pdf,2024-04-30T04:25:40.434Z,2024-04-30T04:22:31.000Z
1DSTD91udJSRKI4JehOyPOOncDWtx66gE,달파_투심보고서.pdf,file,application/pdf,0ADRmYMCfHI3HUk9PVA,투자실(권한 주의),1dDlWbOw8FOeSK4tmVO4r0Bn_wAG98XFk,/투자실(권한 주의)/03. 펀드팀/★04. Type 2/50. 스프링캠프-KIF 초기전문 투자조합 (스프링캠프)/06. 투심보고(해당자)/20240402_달파/달파_투심보고서.pdf,2024-03-28T10:13:33.686Z,2024-03-28T10:12:46.000Z
1n-bWqQoesaVkesmDIezXw9-0RoUKutYv,투심보고서_래티스.pdf,file,application/pdf,0ADRmYMCfHI3HUk9PVA,투자실(권한 주의),12KoQ4K4SDKhG7NGuui5WI8troXwktXGG,/투자실(권한 주의)/03. 펀드팀/★04. Type 2/50. 스프링캠프-KIF 초기전문 투자조합 (스프링캠프)/06. 투심보고(해당자)/20240315_래티스/투심보고서_래티스.pdf,2024-03-26T00:36:33.938Z,2024-03-26T00:32:42.000Z
13wl2S8zYisoEDpPh2uR8T_2-MN2-Wils,래티스_투자심사보고서.pdf,file,application/pdf,0ADRmYMCfHI3HUk9PVA,투자실(권한 주의),12KoQ4K4SDKhG7NGuui5WI8troXwktXGG,/투자실(권한 주의)/03. 펀드팀/★04. Type 2/50. 스프링캠프-KIF 초기전문 투자조합 (스프링캠프)/06. 투심보고(해당자)/20240315_래티스/래티스_투자심사보고서.pdf,2024-03-13T00:57:53.858Z,2024-03-20T02:22:31.930Z
1oKbNPVfHUdFh398c2P25ydEKuEmIMOTw,사전보고서_KIF_래티스.pdf,file,application/pdf,0ADRmYMCfHI3HUk9PVA,투자실(권한 주의),12KoQ4K4SDKhG7NGuui5WI8troXwktXGG,/투자실(권한 주의)/03. 펀드팀/★04. Type 2/50. 스프링캠프-KIF 초기전문 투자조합 (스프링캠프)/06. 투심보고(해당자)/20240315_래티스/사전보고서_KIF_래티스.pdf,2024-03-20T02:22:26.812Z,2024-03-20T02:21:51.000Z
